orderId,date,ageDays,status,paymentStatus,paymentType,cartTotal,hasInvoice,hasDeliveryNote,G1_statusNotCompleted,G2_paymentNotCompleted,G3_missingDocs,groups
0AqeOjmnmNIoM6x1xrWj,2026-05-04,40,cancelled,pending,external,2296.68,false,false,true,true,true,G1+G2+G3
0GyrHv9ZHeVzzfGuC9r3,2026-04-26,48,completed,completed,external,343.03999999999996,false,true,false,false,true,G3
1KNNucqFZ8Hmx7ppcR0B,2026-04-23,51,completed,completed,j5,41.769999999999996,false,true,false,false,true,G3
1QIM1rQeeBbHvdjEPorh,2026-05-12,32,completed,completed,external,282.04999999999995,false,false,false,false,true,G3
1cowm0ssgI5d1hHlJamm,2026-02-02,131,cancelled,pending,j5,33.8,false,false,true,true,true,G1+G2+G3
1eYMsMZJiYYIM5bAomKw,2025-05-20,389,draft,pending,,11.9,false,false,true,true,true,G1+G2+G3
2AwcmQyQVuSgFoMTOGEG,2025-11-30,195,completed,completed,,116.16,false,true,false,false,true,G3
2LkV1BzjHd8YIZTQq2OJ,2025-11-19,206,draft,pending,,1610.7,false,false,true,true,true,G1+G2+G3
2tfEX80x2QQPp88Nn2cR,2026-04-23,51,completed,completed,j5,56.64,false,false,false,false,true,G3
2xwCUQBWmP7F0BsfM2FC,2026-02-02,131,delivered,pending,external,38.8,true,true,true,true,false,G1+G2
314oTtPvzxhZKPM9QwGE,2026-02-19,114,pending,pending_j5,j5,1640.72,false,false,true,true,true,G1+G2+G3
36ELzHeXr2hIgwUNy4dn,2026-01-08,157,draft,pending,,41.9,false,false,true,true,true,G1+G2+G3
38JX71CkiIqqPFQ1GJcD,2026-01-27,137,completed,completed,external,385.35999999999996,false,true,false,false,true,G3
3Imxkgr2JrzaFi9uLhJf,2026-01-08,157,draft,pending,,41.9,false,false,true,true,true,G1+G2+G3
3gvnpGJ3GhKeLkDeG1YS,2026-05-19,25,pending,pending_j5,j5,1213.03,false,false,true,true,true,G1+G2+G3
